rate,property_type,area,bedRoom,bathroom,balcony,noOfFloor,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,age,feature_score,furnish_score
17650,house,1728.05,5,5,2,2,North,Sector 17C,sector-,3.05,0,0,0,0,Old,6,24.0
24280,house,2429.98,4,5,2,2,East,Sector 109,international city by sobha phase,5.9,0,1,0,0,Relatively New,16,28.0
26423,house,2213.98,4,5,3+,2,East,Sector 109,international city by sobha phase,5.85,0,1,0,0,Relatively New,16,31.0
6666,house,6000.6,4,4,3+,2,North-East,Sector 70A,bptp visionnaire,4.0,0,1,0,0,Relatively New,26,0.0
8916,house,6000.45,4,4,3+,3,North,Sector 70A,bptp visionnaire,5.35,1,1,1,0,Relatively New,27,87.0
36667,house,1799.98,6,7,3+,2,East,Dlf Phase,,6.6,1,1,0,0,Mid,19,56.0
9000,house,7000.0,4,5,3+,2,West,Sector 109,international city by sobha phase,6.3,0,0,0,0,Relatively New,24,62.5
20000,house,6000.0,5,6,3,2,North-East,Sector 109,international city by sobha phase,12.0,1,1,0,0,Relatively New,25,28.0
9028,house,719.98,3,2,1,1,East,Rajendra Park,,0.65,0,0,1,1,Relatively New,2,0.0
4074,house,1350.02,3,3,2,2,South,Laxman Vihar Phase,,0.55,0,0,0,1,Relatively New,2,16.0
630,house,13492.06,3,3,1,1,North,Laxman Vihar Phase,,0.85,0,0,0,1,Relatively New,0,0.0
86567,house,67.0,2,2,1,2,West,Laxman Vihar Phase,,0.58,0,0,1,1,Mid,1,4.5
92857,house,70.0,1,1,1,1,South-East,Laxman Vihar Phase,,0.65,0,0,0,1,Mid,3,4.5
100000,house,61.0,2,2,2,2,South-East,Laxman Vihar Phase,,0.61,0,0,0,1,Mid,2,6.5
88157,house,76.0,3,3,2,2,South,Laxman Vihar Phase,,0.67,0,0,0,1,Relatively New,1,0.0
29974,house,1935.01,6,6,3,2,South-West,Sushant Lok Phase,ansal sushant lok plots,5.8,0,1,0,1,Relatively New,10,36.5
