area,property_type,bedRoom,bathroom,balcony,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score,rate
9146.0,flat,4,4,3,,52,ardee city,1.5,0,0,0,0,3.0,Old,20,14.0,1640.0612289525475
13115.0,flat,1,1,No,,67,mm one key resiments,0.8,0,0,0,0,0.0,undefined,0,0.0,609.9885627144491
7396.0,flat,3,2,1,,86,ansal heights,1.25,0,0,0,0,11.0,Newly House,16,0.0,1690.1027582477016
5397.0,flat,2,2,1,,Sohna,mvn athens,0.26,0,0,0,0,2.0,Relatively New,5,10.5,481.7491198814156
7909.0,flat,2,2,1,,Sohna,signature the serenas,0.42,0,0,0,0,12.0,Newly House,13,19.0,531.0405866734101
12920.0,flat,3,3,2,,Sushant Lok Phase,sushant lok builder floors,2.5,0,0,0,0,2.0,Newly House,0,0.0,1934.984520123839
4615.0,flat,3,3,2,,78,umang monsoon breeze,0.9,0,1,1,0,1.0,Mid,21,6.0,1950.1625135427953
7106.0,flat,2,2,1,East,92,gls avenue,0.42,1,0,1,0,4.0,Relatively New,8,12.0,591.049817056009
7692.0,flat,2,2,1,,107,signature global solera,0.5,0,0,0,0,11.0,Relatively New,0,0.0,650.0260010400416
5883.0,flat,2,2,3,,79,supertech araville,0.9,1,0,0,0,5.0,Relatively New,15,0.0,1529.8317185109638
6806.0,flat,3,3,3+,South-West,89,greenopolis,1.3,0,1,0,0,1.0,Newly House,7,0.0,1910.079341757273
9502.0,flat,3,3,3,,33,central park flower valley aqua front towers,1.7,0,0,0,0,12.0,Under Construction,14,9.5,1789.0970322037465
6200.0,flat,4,3,No,,92,sare homes,1.25,0,0,0,0,16.0,Under Construction,9,0.0,2016.1290322580646
6700.0,flat,4,4,3,East,82A,vatika sovereign next sector a gurgaon,2.91,1,1,0,0,6.0,Under Construction,19,13.5,4343.2835820895525
5750.0,flat,3,4,2,,12A,bhagwati sadan,1.15,1,1,0,1,2.0,Old,5,12.0,2000.0
12526.0,flat,3,3,3,East,89,smart world gems,1.2,0,0,1,0,3.0,Under Construction,27,3.5,958.0073447229762
12244.0,flat,2,2,3,,Sohna Road,micasa sec,1.5,0,0,0,0,11.0,Newly House,8,1.0,1225.0898399215941
7424.0,flat,3,3,3+,East,Sohna,eldeco accolade,1.3,0,0,0,0,10.0,Relatively New,9,0.0,1751.0775862068965
10361.0,flat,3,3,3,,104,hero homes,1.75,0,0,0,0,2.0,Under Construction,14,0.0,1689.0261557764695
6470.0,flat,2,2,1,West,Ashok Vihar Phase,shyam sadan,0.55,1,0,0,0,4.0,Relatively New,9,24.0,850.0772797527048
13600.0,flat,3,3,3,,65,mm heights,2.5,0,0,0,0,19.0,Under Construction,0,0.0,1838.235294117647
5308.0,flat,2,2,1,,Rajiv Colony,hanumanta apartment,0.43,0,0,0,0,1.0,Mid,1,0.0,810.0979653353429
5556.0,flat,3,2,3,,2,supertech hilltown,0.8,0,0,0,0,8.0,undefined,0,0.0,1439.8848092152627
4500.0,flat,3,3,2,,Garauli Kalan,ashiyara,0.45,0,0,0,0,18.0,Under Construction,0,0.0,1000.0
4666.0,flat,2,2,1,West,108,raheja vedaanta,0.7,0,0,0,0,10.0,Mid,0,0.0,1500.2143163309045
1604.888888888889,flat,4,3,3,,37D,bptp terra,1.95,0,0,0,0,7.0,Under Construction,0,2.0,12150.373857657158
7188.0,flat,2,2,1,,90,green court,0.45,0,0,0,0,2.0,Newly House,8,13.5,626.0434056761269
10828.0,flat,3,2,3,,79,mm golf hills phase,1.7,0,0,0,0,10.0,undefined,0,0.5,1570.003694126339
6111.0,flat,3,2,3,,Bhawani Enclave,abhinav group housing society,1.1,0,0,0,0,5.0,Old,9,0.0,1800.0327278677794
9615.0,flat,2,2,1,,86,pyramid urban homes,0.5,0,0,0,0,10.0,Relatively New,4,0.0,520.0208008320333
15000.0,flat,3,3,3,North-East,65,mm heights,2.8,0,0,0,0,20.0,Under Construction,21,0.0,1866.6666666666667
15664.0,flat,3,2,3+,,33,godrej nature plus,1.45,1,0,0,0,20.0,Under Construction,28,0.0,925.6894790602656
13496.0,flat,3,3,2,,61,smart world orchard,2.2,0,0,0,0,3.0,Under Construction,10,0.0,1630.1126259632483
9463.0,flat,2,2,2,South,Sohna,ashiana anmol,0.9,0,0,0,0,13.0,Relatively New,24,37.0,951.0725985416886
7782.0,flat,2,2,2,East,95A,signature signum a,0.4,0,0,0,0,3.0,Newly House,8,18.5,514.0066820868672
7780.0,flat,3,3,3+,,77,umang winter hills,1.35,0,0,0,0,7.0,Newly House,22,42.0,1735.2185089974294
8043.0,flat,4,4,No,East,67A,aardhya homesh,1.85,0,0,0,0,4.0,undefined,0,0.5,2300.136764888723
