area,property_type,bedRoom,bathroom,balcony,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score,rate
13739,flat,2,2,2,South,Sector 61,smart world orchard,1.58,1,0,0,0,3.0,Under Construction,5,1.5,1150.0109178251691
12859,flat,2,2,1,West,Sector 30,afnhb jalvayu vihar,0.85,0,0,0,1,2.0,Old,13,20.5,661.0156310755114
9038,flat,2,2,3,East,Sector 79,godrej sector,1.25,0,0,0,0,1.0,undefined,0,3.5,1383.049347200708
6660,flat,3,2,3,,Sector 36,signature global park,0.72,0,0,0,0,3.0,Under Construction,0,0.0,1081.081081081081
19333,flat,1,1,1,,Sector 49,satya element one,0.87,0,0,0,0,2.0,Relatively New,7,20.0,450.0077587544613
7426,flat,3,4,3+,East,Sector 79,godrej aria,1.7,0,1,0,0,6.0,Newly House,22,0.0,2289.2539725289525
9791,flat,4,4,3+,East,Sector 70,tulip ivory,2.35,0,1,0,0,10.0,Mid,17,32.5,2400.163415381473
8375,flat,3,2,2,,Sector 88A,breez global heights a,0.5,0,0,0,0,2.0,Under Construction,7,0.0,597.0149253731344
9000,flat,2,2,3,,Sector 79,godrej,1.41,1,0,0,0,3.0,Newly House,24,0.0,1566.6666666666667
6622,flat,3,2,3,East,Sector 92,signature global city,0.99,0,0,0,1,1.0,Newly House,7,19.0,1495.016611295681
10105,flat,4,5,3+,,Sector 69,tulip violet,3.25,0,0,1,1,14.0,Relatively New,6,0.0,3216.229589312222
25925,flat,3,3,3,,Sector 63A,birla navya,3.5,0,0,0,0,1.0,Under Construction,16,18.0,1350.0482160077145
12820,flat,4,5,3,South-East,Sector 48,parsvnath green ville,2.5,0,0,0,1,1.0,Mid,9,61.5,1950.0780031201248
6578,flat,2,2,1,North,Sector 76,pyramid pride,0.5,0,0,0,0,8.0,Under Construction,21,0.0,760.1094557616296
14525,flat,3,3,2,,Sector 61,suposhaa smartworld orchard,2.25,0,0,0,0,3.0,Under Construction,0,0.0,1549.053356282272
5833,flat,5,4,2,,Sector 21,mittal surya vihar,1.4,0,0,0,0,2.0,Mid,0,0.0,2400.1371506943256
6428,flat,3,3,2,,Sector 85,orris carnation residency,0.9,0,0,0,0,12.0,Relatively New,25,14.0,1400.1244555071562
5980,flat,2,2,1,,Sohna,trisara our homes,0.36,0,0,0,0,1.0,Newly House,14,18.0,602.0066889632106
8609,flat,1,1,1,,Sector 56,kendriya vihar,0.65,0,0,0,0,0.0,Mid,26,0.0,755.0238122894646
8843,flat,2,2,2,,Sector 79,godrej aria,1.3,1,0,0,0,7.0,Relatively New,26,16.5,1470.0893361981227
5100,flat,2,2,1,,Sector 86,ansal heights,0.67,0,0,0,0,10.0,Relatively New,22,0.0,1313.7254901960785
7002,flat,1,1,1,,Sohna,breez global heights,0.25,0,0,0,0,1.0,Relatively New,15,0.0,357.0408454727221
9586,flat,1,1,1,,Sector 56,kendriya vihar,0.58,0,0,0,0,1.0,Old,13,8.5,605.0490298351763
4373,flat,1,1,1,North-East,Sector 5,om apartment dayanand colony,0.255,0,0,0,0,3.0,Relatively New,2,4.0,583.1237136976904
8000,flat,3,2,2,East,Sector 86,pyramid urban homes,0.6,0,0,0,0,2.0,Under Construction,5,0.0,750.0
8319,flat,2,2,1,East,Sector 86,pyramid urban homes,0.5,0,0,0,0,2.0,Relatively New,7,0.0,601.0337780983291
8231,flat,3,2,3+,North-East,Sector-33,godrej nature plus,1.35,0,0,1,0,7.0,Under Construction,9,0.0,1640.1409306281132
7000,flat,3,3,2,,Sector 70,unitech south park,1.13,0,0,0,0,1.0,Under Construction,17,0.0,1614.285714285714
5319,flat,4,1,No,,Sector 109,raheja atharva,1.6,0,0,0,0,0.0,Newly House,0,0.0,3008.084226358338
5195,flat,2,2,2,,Sector 89,greenopolis,0.65,0,0,0,0,15.0,Under Construction,7,0.0,1251.2030798845044
5776,flat,2,2,2,North,Sohna,breez global hill view,0.32,0,0,0,0,19.0,Relatively New,7,23.0,554.016620498615
5517,flat,2,2,No,,Sector 103,satya the hermitage,0.8,0,0,0,0,10.0,undefined,0,0.5,1450.063440275512
14612,flat,4,5,3+,East,Chakkarpur,sahara grace,5.5,0,1,0,1,5.0,Mid,4,57.0,3764.0295647413086
5703,flat,2,2,No,,Sector 37C,imperia the esfera,0.95,0,1,0,0,17.0,Under Construction,0,0.0,1665.7899351218657
9448,flat,2,2,1,South-West,Sector 84,alpha corp gurgaonone,1.2,0,0,0,0,6.0,Relatively New,4,0.0,1270.1100762066046
13478,flat,2,2,1,,Sector 61,smart world orchard,1.55,1,0,0,0,3.0,Under Construction,15,15.5,1150.0222584953258
15765,flat,4,5,3,North-East,Sushant Lok,the ivy,6.0,0,0,0,0,2.0,undefined,0,0.0,3805.899143672693
4011,flat,2,2,2,,Sohna,hcbs sports ville,0.298,0,0,0,0,3.0,undefined,0,0.0,742.9568686113189
11500,flat,3,3,2,,Sector 76,whiteland blissville,1.92,0,0,0,0,2.0,undefined,0,0.5,1669.5652173913043
13392,flat,3,2,2,East,Sector 106,mrg skyline,1.82,0,0,0,0,4.0,undefined,0,0.5,1359.020310633214
7763,flat,2,2,1,,Sector 89,adani aangan arcade,0.5,0,0,0,0,4.0,Relatively New,14,31.5,644.080896560608
5000,flat,1,1,1,,Sector 89,adani aangan galleria,0.25,0,0,0,0,6.0,Newly House,16,0.0,500.0
5246,flat,4,3,3,,Sector 92,sare green parc,1.07,1,1,0,0,10.0,Under Construction,21,0.0,2039.6492565764393
5925,flat,2,3,2,,Sector 90,shree vardhman flora,0.8,0,0,0,0,0.0,undefined,0,0.5,1350.210970464135
9538,flat,1,1,No,,Sector 82A,spectrum centre,0.62,0,0,0,0,6.0,undefined,0,0.5,650.0314531348291
9025,flat,2,2,3,,Sector-33,godrej nature plus,1.25,0,0,0,0,17.0,undefined,0,0.0,1385.0415512465374
7978,flat,2,2,No,,Sector 89,smart world gems,0.88,0,0,0,0,2.0,undefined,0,0.5,1103.0333416896465
6426,flat,2,2,3,,Sector 82,vatika india next,0.8,0,0,0,0,9.0,undefined,0,0.0,1244.9424214130097
7971,flat,2,2,2,North,Sector-33,godrej nature plus,1.1,0,0,0,0,14.0,undefined,0,0.5,1380.0025090954712
6741,flat,3,2,2,,Sector 92,sare green parc,0.85,0,0,0,0,14.0,undefined,0,0.0,1260.9405132769618
