area,property_type,bedRoom,bathroom,balcony,sector,Price,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score
7407.0,flat,1,1,2,Sohna,0.24,0,0,0,0,Low Floor,Newly House,Medium,Unfurnished
10500.0,flat,3,4,3+,77,2.1,0,1,0,0,High Floor,Newly House,High,Medium
9849.0,flat,3,3,3+,33,1.9,0,1,0,0,High Floor,Under Construction,High,Unfurnished
11482.0,flat,2,2,3,79,1.1,0,0,0,0,Mid Floor,Newly House,Low,Unfurnished
4500.0,flat,2,2,1,95,0.315,0,0,0,1,Mid Floor,Relatively New,Low,High
1957.4444444444443,flat,1,1,2,109,1.7,0,0,0,0,Mid Floor,Relatively New,Low,Low
6106.0,flat,2,2,2,99A,0.32,0,0,0,0,Low Floor,Newly House,Medium,Unfurnished
7739.0,flat,2,2,1,86,0.45,0,0,0,0,Mid Floor,Under Construction,Medium,Unfurnished
10018.0,flat,1,2,2,78,1.2,0,0,0,0,High Floor,Under Construction,Medium,Unfurnished
16030.0,flat,2,2,2,65,2.1,0,0,0,0,High Floor,Under Construction,High,Unfurnished
5600.0,flat,2,2,1,Laxman Vihar,0.42,0,0,0,0,Mid Floor,Relatively New,Low,Medium
9955.0,flat,3,2,3+,33,1.55,0,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
9027.0,flat,3,3,2,Dwarka Expressway Gurgaon,1.3,0,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
10589.0,flat,4,4,3+,113,2.75,1,1,1,0,High Floor,Under Construction,Medium,Medium
6443.0,flat,3,3,3+,103,1.25,0,0,1,0,Low Floor,Newly House,High,Unfurnished
7407.0,flat,3,2,2,63A,0.42,0,0,0,0,Basement,Under Construction,Low,Unfurnished
6420.0,flat,2,2,1,Sohna,0.4,0,0,0,0,Mid Floor,Newly House,Low,Unfurnished
5405.0,flat,2,2,1,Sohna,0.34,0,0,0,0,Low Floor,Newly House,Low,Unfurnished
8784.0,flat,3,3,3,89,1.25,1,0,0,1,Mid Floor,Under Construction,Low,Unfurnished
12744.0,flat,3,3,3,77,1.5,0,0,0,0,Mid Floor,Relatively New,High,High
9285.0,flat,3,3,2,Dwarka Expressway Gurgaon,1.3,0,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
8000.0,flat,3,3,3,99A,1.6,0,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
11755.0,flat,2,2,2,113,1.5,0,0,0,0,High Floor,Newly House,Low,Unfurnished
11755.0,flat,2,2,2,113,1.5,0,0,0,0,High Floor,Newly House,Medium,Unfurnished
7149.0,flat,2,2,No,104,0.9,0,0,0,0,High Floor,Relatively New,Low,Unfurnished
9146.0,flat,4,4,3,52,1.5,0,0,0,0,Mid Floor,Old,High,Medium
13115.0,flat,1,1,No,67,0.8,0,0,0,0,Low Floor,Relatively New,Low,Unfurnished
7396.0,flat,3,2,1,86,1.25,0,0,0,0,High Floor,Newly House,Medium,Unfurnished
5397.0,flat,2,2,1,Sohna,0.26,0,0,0,0,Low Floor,Relatively New,Low,High
7909.0,flat,2,2,1,Sohna,0.42,0,0,0,0,High Floor,Newly House,Medium,Medium
12920.0,flat,3,3,2,Sushant Lok Phase,2.5,0,0,0,0,Low Floor,Newly House,Low,Unfurnished
4615.0,flat,3,3,2,78,0.9,0,1,1,0,Low Floor,Mid,High,Low
7106.0,flat,2,2,1,92,0.42,1,0,1,0,Mid Floor,Relatively New,Low,Medium
7692.0,flat,2,2,1,107,0.5,0,0,0,0,High Floor,Relatively New,Low,Unfurnished
5883.0,flat,2,2,3,79,0.9,1,0,0,0,Mid Floor,Relatively New,Medium,Unfurnished
6806.0,flat,3,3,3+,89,1.3,0,1,0,0,Low Floor,Newly House,Low,Unfurnished
9502.0,flat,3,3,3,33,1.7,0,0,0,0,High Floor,Under Construction,Medium,Low
6200.0,flat,4,3,No,92,1.25,0,0,0,0,High Floor,Under Construction,Low,Unfurnished
6700.0,flat,4,4,3,82A,2.91,1,1,0,0,Mid Floor,Under Construction,High,Medium
5750.0,flat,3,4,2,12A,1.15,1,1,0,1,Low Floor,Old,Low,Medium
12526.0,flat,3,3,3,89,1.2,0,0,1,0,Mid Floor,Under Construction,High,Low
12244.0,flat,2,2,3,Sohna Road,1.5,0,0,0,0,High Floor,Newly House,Low,Low
7424.0,flat,3,3,3+,Sohna,1.3,0,0,0,0,Mid Floor,Relatively New,Low,Unfurnished
10361.0,flat,3,3,3,104,1.75,0,0,0,0,Low Floor,Under Construction,Medium,Unfurnished
6470.0,flat,2,2,1,Ashok Vihar Phase,0.55,1,0,0,0,Mid Floor,Relatively New,Low,Medium
13600.0,flat,3,3,3,65,2.5,0,0,0,0,High Floor,Under Construction,Low,Unfurnished
5556.0,flat,3,2,3,2,0.8,0,0,0,0,Mid Floor,Mid,Low,Unfurnished
4666.0,flat,2,2,1,108,0.7,0,0,0,0,Mid Floor,Mid,Low,Unfurnished
1604.888888888889,flat,4,3,3,37D,1.95,0,0,0,0,Mid Floor,Under Construction,Low,Low
7188.0,flat,2,2,1,90,0.45,0,0,0,0,Low Floor,Newly House,Low,Medium
10828.0,flat,3,2,3,79,1.7,0,0,0,0,Mid Floor,Relatively New,Low,Low
9615.0,flat,2,2,1,86,0.5,0,0,0,0,Mid Floor,Relatively New,Low,Unfurnished
15000.0,flat,3,3,3,65,2.8,0,0,0,0,High Floor,Under Construction,High,Unfurnished
15664.0,flat,3,2,3+,33,1.45,1,0,0,0,High Floor,Under Construction,High,Unfurnished
13496.0,flat,3,3,2,61,2.2,0,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
9463.0,flat,2,2,2,Sohna,0.9,0,0,0,0,High Floor,Relatively New,High,High
7782.0,flat,2,2,2,95A,0.4,0,0,0,0,Mid Floor,Newly House,Low,Medium
7780.0,flat,3,3,3+,77,1.35,0,0,0,0,Mid Floor,Newly House,High,High
8043.0,flat,4,4,No,67A,1.85,0,0,0,0,Mid Floor,Newly House,Low,Low
6578.0,flat,1,1,1,95,0.25,0,0,0,0,Mid Floor,Newly House,Low,Unfurnished
7963.0,flat,2,2,3,89,0.88,1,0,0,0,Low Floor,Under Construction,Low,Unfurnished
6593.0,flat,2,2,2,99,1.15,0,0,0,1,Low Floor,Newly House,High,Medium
6789.0,flat,2,2,2,99A,0.85,0,0,0,0,Mid Floor,Under Construction,Medium,Unfurnished
7500.0,flat,2,2,2,82A,0.75,0,0,0,0,Low Floor,Relatively New,Low,Low
7444.0,flat,4,4,3+,Palam Vihar,3.35,1,0,0,0,Low Floor,Newly House,Medium,Low
8108.0,flat,3,3,3+,88A,1.5,0,0,0,0,High Floor,Newly House,Medium,Low
6345.0,flat,4,4,3+,91,1.65,0,1,0,0,High Floor,Mid,Medium,Unfurnished
6967.0,flat,4,4,3+,91,2.0,1,1,1,0,High Floor,Mid,Medium,Unfurnished
7627.0,flat,2,2,2,68,0.9,0,0,0,0,Low Floor,Newly House,Low,Unfurnished
6703.0,flat,3,3,3,70,1.25,0,0,0,0,High Floor,Under Construction,Medium,Unfurnished
6506.0,flat,3,3,3+,37C,1.0,0,0,0,0,Mid Floor,Relatively New,Low,Medium
6150.0,flat,3,3,No,Dwarka Expressway Gurgaon,1.08,0,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
8928.0,flat,3,5,3,85,2.15,0,0,0,0,Low Floor,Newly House,Low,Unfurnished
12106.0,flat,1,1,1,67,1.0,0,0,0,0,High Floor,Relatively New,Low,Unfurnished
13074.0,flat,2,2,3,70A,1.65,0,0,0,0,High Floor,Under Construction,High,Unfurnished
8081.0,flat,4,3,3+,90,1.79,0,0,0,0,Mid Floor,Mid,High,Unfurnished
13136.0,flat,3,3,3,85,1.8,0,0,0,0,High Floor,Under Construction,Medium,Unfurnished
10139.0,flat,3,3,3,Gwal Pahari,1.45,0,0,0,0,Mid Floor,Under Construction,Low,Low
5142.0,flat,2,2,1,7,0.36,0,0,0,0,Low Floor,Relatively New,Low,Unfurnished
4258.0,flat,2,2,1,Sohna,0.25,0,0,0,0,Low Floor,Relatively New,Medium,Unfurnished
7496.0,flat,3,3,3+,79,1.15,1,0,0,0,Low Floor,Under Construction,Low,Unfurnished
1937.888888888889,flat,3,3,No,Sohna Road,1.65,0,0,0,0,Low Floor,Newly House,Low,Unfurnished
12619.0,flat,4,4,3+,113,2.9,1,1,0,0,High Floor,Under Construction,Low,Unfurnished
4546.0,flat,2,2,3,92,0.6,0,0,0,1,High Floor,Under Construction,Low,Unfurnished
10000.0,flat,3,3,No,Malibu Town,2.4,0,0,0,0,Low Floor,Mid,Low,High
9904.0,flat,2,2,3,70A,1.25,0,0,0,0,High Floor,Relatively New,Low,Low
15003.0,flat,2,2,3+,65,2.15,0,0,0,0,High Floor,Relatively New,Low,Low
3970.0,flat,2,2,1,Sohna,0.295,0,0,0,0,Mid Floor,Relatively New,Low,Unfurnished
5067.0,flat,2,2,2,Sohna,0.38,0,0,0,0,Mid Floor,Relatively New,Low,Low
4105.0,flat,2,2,1,4,0.39,0,0,0,0,Basement,Old,Low,Low
6667.0,flat,3,4,No,99,1.6,0,0,0,0,High Floor,Under Construction,Low,Low
8504.0,flat,4,4,3,68,1.7,0,0,0,0,Low Floor,Newly House,Low,Unfurnished
14118.0,flat,3,3,3+,54,3.25,0,0,1,0,Low Floor,Old,High,Medium
8450.0,flat,2,2,3,111,0.6,0,0,0,0,Mid Floor,Newly House,Medium,Unfurnished
2700.0,flat,2,2,No,95,0.27,0,0,0,0,Low Floor,Relatively New,Low,Low
8886.0,flat,2,1,1,Chakkarpur,0.95,0,0,0,0,Low Floor,Old,Medium,Low
2054.6666666666665,flat,2,2,3,65,2.65,1,0,0,0,Mid Floor,Under Construction,Low,Medium
7643.0,flat,2,2,1,79,0.36,0,0,0,0,Mid Floor,Under Construction,Medium,Unfurnished
9166.0,flat,2,2,3,37D,0.55,0,0,0,0,Mid Floor,Newly House,Low,Unfurnished
16923.0,flat,3,3,3,89,1.32,0,0,0,0,Low Floor,Under Construction,Medium,Unfurnished
3975.0,flat,2,2,3,99A,0.59,0,0,0,1,Low Floor,Under Construction,High,Low
4705.0,flat,2,2,1,Laxman Vihar,0.45,0,0,0,0,Basement,Relatively New,Low,Medium
6225.0,flat,3,3,2,37D,0.9,0,0,0,0,High Floor,Relatively New,Low,High
10000.0,flat,2,2,2,79,1.4,1,1,0,0,Mid Floor,Relatively New,Medium,Medium
6542.0,flat,2,2,3+,Sohna,0.95,1,0,0,0,Mid Floor,Newly House,Low,Medium
2000.0,flat,3,3,3,65,3.0,0,0,0,0,High Floor,Under Construction,Medium,Low
1998.888888888889,flat,3,3,2,65,3.67,0,1,0,0,High Floor,Under Construction,Low,Unfurnished
7500.0,flat,5,6,3+,82A,3.85,0,1,1,0,Mid Floor,Newly House,High,High
1999.6666666666667,flat,3,3,3,65,3.29,0,0,0,0,High Floor,Under Construction,Low,Unfurnished
2053.0,flat,2,2,3,65,2.33,0,0,0,0,High Floor,Under Construction,Low,Medium
14168.0,flat,3,3,3,65,2.79,0,0,0,0,High Floor,Under Construction,Low,Unfurnished
7272.0,flat,2,2,1,12,0.72,0,0,0,1,Low Floor,Relatively New,Low,Medium
7036.0,flat,2,2,1,104,0.4,0,0,0,0,Mid Floor,Relatively New,Low,Low
4105.0,flat,2,2,2,95,0.56,0,0,0,0,Mid Floor,Relatively New,Medium,Medium
6790.0,flat,3,3,3,71,1.1,0,0,0,1,High Floor,Relatively New,High,Unfurnished
5420.0,flat,2,2,3,37D,0.71,0,0,0,1,Mid Floor,Newly House,Medium,Unfurnished
6024.0,flat,2,2,3+,79,0.78,0,0,0,1,Low Floor,Newly House,High,Unfurnished
5882.0,flat,2,2,3,37C,0.4,0,0,0,0,Mid Floor,Under Construction,High,Unfurnished
11716.0,flat,3,2,2,113,1.85,0,0,0,0,Mid Floor,Newly House,Low,Unfurnished
12181.0,flat,2,2,1,102,1.1,0,0,0,0,Mid Floor,Under Construction,High,Unfurnished
12250.0,flat,2,2,2,61,1.41,1,0,0,0,Low Floor,Under Construction,Medium,Unfurnished
7455.0,flat,3,3,3,79,1.45,0,0,0,0,Mid Floor,Relatively New,Low,Medium
13500.0,flat,3,3,2,61,2.2,0,0,0,0,Low Floor,Under Construction,Low,Unfurnished
9909.0,flat,2,2,3,33,1.1,0,0,0,0,Mid Floor,Mid,Low,High
9876.0,flat,3,4,3+,102,2.05,0,1,0,0,High Floor,Relatively New,High,Unfurnished
5000.0,flat,3,2,3,92,0.6,0,0,0,0,Mid Floor,Mid,Low,Medium
4820.0,flat,2,3,3,89,0.8,1,0,0,1,Mid Floor,Under Construction,Medium,Unfurnished
7032.0,flat,2,2,2,84,0.41,0,0,0,0,Mid Floor,Newly House,Low,Medium
5888.0,flat,2,2,1,Krishna Colony,0.54,0,0,0,0,Mid Floor,Relatively New,Low,Low
7585.0,flat,3,2,2,36,0.82,0,0,0,0,Low Floor,Newly House,Low,Unfurnished
6734.0,flat,3,3,3+,71,1.0,0,0,0,0,Mid Floor,Relatively New,Low,Medium
9024.0,flat,3,4,3,56,1.85,0,1,0,0,Mid Floor,Old,Medium,Medium
8000.0,flat,3,3,2,83,1.42,0,0,0,0,Low Floor,Relatively New,High,Medium
9166.0,flat,2,2,3,37D,0.55,0,0,0,0,Mid Floor,Newly House,Medium,Unfurnished
15980.0,flat,2,2,3,65,2.29,1,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
10601.0,flat,2,2,2,102,0.97,0,0,0,0,High Floor,Under Construction,Low,Low
3111.111111111112,flat,3,4,3,53,8.25,0,1,0,0,Mid Floor,Under Construction,Medium,Medium
4444.0,flat,2,2,1,Ashok Vihar Phase,0.3,0,0,0,0,Low Floor,Relatively New,Low,Low
14335.0,flat,2,2,3,33,1.65,0,0,0,0,Low Floor,Under Construction,Medium,Unfurnished
15793.0,flat,2,2,2,65,1.99,0,0,0,0,High Floor,Under Construction,Low,Unfurnished
12500.0,flat,2,2,3,68,1.0,0,0,0,0,High Floor,Relatively New,Medium,Unfurnished
2951.333333333333,flat,3,3,3,62,4.25,1,0,0,0,Mid Floor,Under Construction,Low,High
5000.0,flat,4,4,3,78,1.25,0,1,1,1,Low Floor,Relatively New,Medium,Low
6300.0,flat,3,3,3,83,0.95,0,0,0,0,Low Floor,Mid,Low,Unfurnished
7777.0,flat,3,2,2,4,1.05,0,0,0,0,Low Floor,Newly House,Low,Medium
14100.0,flat,4,5,3+,72,4.1,0,1,0,1,High Floor,Newly House,High,Unfurnished
6983.0,flat,2,2,2,90,0.5,0,0,0,0,Low Floor,Under Construction,Low,Unfurnished
5892.0,flat,4,3,3,1,1.65,0,1,0,0,Mid Floor,Newly House,Low,Unfurnished
10158.0,flat,3,3,3,70A,1.6,0,1,0,1,Low Floor,Newly House,Medium,Unfurnished
13750.0,flat,3,2,3,61,2.1,0,0,0,0,Mid Floor,Under Construction,High,Unfurnished
3648.0,flat,4,4,3,1,0.9,0,0,0,0,Mid Floor,Mid,Low,Unfurnished
7772.0,flat,2,2,3+,79,1.1,0,0,0,0,Mid Floor,Newly House,Low,Low
6739.0,flat,2,2,3+,99,0.92,0,0,0,0,High Floor,Under Construction,Medium,Unfurnished
5556.0,flat,3,3,2,92,0.7,0,0,0,0,High Floor,Under Construction,Medium,Unfurnished
6325.0,flat,3,4,2,70,0.99,0,0,0,0,High Floor,Under Construction,Low,Unfurnished
6061.0,flat,2,2,3+,79,0.715,0,0,0,1,High Floor,Newly House,Medium,Medium
6429.0,flat,2,2,3,103,0.875,0,0,0,0,Mid Floor,Newly House,Medium,Unfurnished
6862.0,flat,3,2,2,69,0.91,0,0,0,0,High Floor,Mid,Medium,Low
6377.0,flat,3,4,3+,82,1.25,0,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
10531.0,flat,2,2,2,47,1.05,0,0,0,0,Mid Floor,Relatively New,Low,Medium
5038.0,flat,2,2,3+,37C,0.66,0,0,0,0,High Floor,Relatively New,Low,Unfurnished
13969.0,flat,2,2,No,113,1.83,0,0,0,0,Mid Floor,Newly House,Low,Unfurnished
4800.0,flat,2,2,2,70,0.5256000000000001,0,0,0,1,Mid Floor,Under Construction,Low,Unfurnished
5797.0,flat,2,2,3,37D,0.8,0,0,0,0,Low Floor,Relatively New,Medium,Medium
12000.0,flat,3,2,No,89,1.71,0,0,0,0,Mid Floor,Under Construction,Low,Low
9286.0,flat,1,1,No,83,0.65,0,0,0,0,Mid Floor,Relatively New,Low,Low
6510.0,flat,3,3,No,99A,1.3,0,0,0,0,High Floor,Relatively New,Low,Unfurnished
