area,property_type,bedRoom,bathroom,balcony,sector,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score,price
17200.0,0.0,3,4,3.0,72.0,0,1,0,0,0.0,4.0,2.0,4.5,3.87
6338.0,0.0,3,3,0.0,8.0,0,0,0,0,2.0,0.0,1.0,0.0,1.38
6615.0,0.0,2,2,0.0,185.0,0,0,0,0,1.0,3.0,1.0,4.5,0.43
3166.0,0.0,2,1,0.0,212.0,0,0,0,1,1.0,3.0,1.0,12.5,0.285
9838.0,0.0,2,2,1.0,45.0,0,0,0,0,2.0,3.0,1.0,0.5,1.1
13957.0,0.0,2,2,1.0,76.0,0,0,0,0,0.0,3.0,1.0,0.0,2.0
8035.0,0.0,3,2,1.0,249.0,0,0,0,0,1.0,4.0,0.0,0.0,0.9
8036.0,0.0,3,2,4.0,249.0,0,0,0,0,1.0,4.0,1.0,0.0,0.9
8768.0,0.0,3,3,4.0,38.0,0,0,0,0,1.0,4.0,1.0,0.0,1.75
8611.0,0.0,2,2,1.0,80.0,0,0,0,0,0.0,1.0,1.0,0.5,0.93
6600.0,0.0,4,4,3.0,106.0,0,0,0,0,0.0,0.0,1.0,0.0,1.8
11738.0,0.0,3,3,1.0,38.0,0,0,0,0,2.0,4.0,2.0,0.0,2.1
14492.0,0.0,2,2,1.0,28.0,0,0,0,0,2.0,3.0,1.0,18.5,2.0
12800.0,0.0,3,3,1.0,75.0,0,0,0,0,1.0,4.0,1.0,3.0,2.0
7800.0,0.0,3,3,2.0,102.0,1,0,0,1,2.0,1.0,0.0,0.0,1.29
15590.0,0.0,3,3,2.0,76.0,0,0,0,0,0.0,4.0,0.0,8.5,2.85
5641.0,0.0,3,3,2.0,92.0,0,0,0,0,1.0,3.0,2.0,21.0,1.1
13750.0,0.0,2,2,1.0,72.0,1,0,0,0,1.0,4.0,2.0,0.0,1.65
7407.0,0.0,1,1,1.0,249.0,0,0,0,0,1.0,1.0,2.0,0.0,0.24
10500.0,0.0,3,4,3.0,90.0,0,1,0,0,0.0,1.0,0.0,18.0,2.1
9849.0,0.0,3,3,3.0,38.0,0,1,0,0,0.0,4.0,0.0,0.0,1.9
11482.0,0.0,2,2,2.0,92.0,0,0,0,0,2.0,1.0,1.0,0.0,1.1
4500.0,0.0,2,2,0.0,110.0,0,0,0,1,2.0,3.0,1.0,32.5,0.315
1957.4444444444443,0.0,1,1,1.0,8.0,0,0,0,0,2.0,3.0,1.0,3.5,1.7
6106.0,0.0,2,2,1.0,113.0,0,0,0,0,1.0,1.0,2.0,0.0,0.32
7739.0,0.0,2,2,0.0,101.0,0,0,0,0,2.0,4.0,2.0,0.0,0.45
10018.0,0.0,1,2,1.0,91.0,0,0,0,0,0.0,4.0,2.0,0.0,1.2
16030.0,0.0,2,2,1.0,76.0,0,0,0,0,0.0,4.0,0.0,0.0,2.1
5600.0,0.0,2,2,0.0,185.0,0,0,0,0,2.0,3.0,1.0,26.0,0.42
9955.0,0.0,3,2,3.0,38.0,0,0,0,0,2.0,4.0,1.0,0.0,1.55
9027.0,0.0,3,3,1.0,156.0,0,0,0,0,2.0,4.0,1.0,0.0,1.3
10589.0,0.0,4,4,3.0,14.0,1,1,1,0,0.0,4.0,2.0,19.0,2.75
6443.0,0.0,3,3,3.0,2.0,0,0,1,0,1.0,1.0,0.0,0.0,1.25
7407.0,0.0,3,2,1.0,75.0,0,0,0,0,3.0,4.0,1.0,0.0,0.42
6420.0,0.0,2,2,0.0,249.0,0,0,0,0,2.0,1.0,1.0,0.0,0.4
5405.0,0.0,2,2,0.0,249.0,0,0,0,0,1.0,1.0,1.0,0.0,0.34
8784.0,0.0,3,3,2.0,104.0,1,0,0,1,2.0,4.0,1.0,0.0,1.25
12744.0,0.0,3,3,2.0,90.0,0,0,0,0,2.0,3.0,0.0,61.5,1.5
9285.0,0.0,3,3,1.0,156.0,0,0,0,0,2.0,4.0,1.0,0.0,1.3
8000.0,0.0,3,3,2.0,113.0,0,0,0,0,2.0,4.0,1.0,0.0,1.6
11755.0,0.0,2,2,1.0,14.0,0,0,0,0,0.0,1.0,1.0,0.0,1.5
11755.0,0.0,2,2,1.0,14.0,0,0,0,0,0.0,1.0,2.0,0.0,1.5
